,label,content
0,Real,"Democrats Hope Trump's Cabinet Picks Will Stand in Their Own Way With Democrats unable to stop President-elect Donald Trump's Cabinet picks on their own, they're hoping that increased scrutiny on his nominees will do it for them.  As the minority party in the Senate with little real recourse at their disposal, uncovering something disqualifying may be Democrats' last best hope to block some Trump selections that they view as unacceptable and outside the political mainstream.  Even if they don't have the votes to shoot down any nominees, Democratic senators will grill them in committee hearings. They can slow the confirmation process with procedural moves or try to shame them  all in the service of trying to peel off the three Republican votes they would need to kill a nomination or force the Trump White House to withdraw the pick.  Not all of Trump's picks will face such aggressive scrutiny, which Democrats insist is not merely reflexive partisan opposition. Retired Gen. James Mattis is expected to sail through his confirmation to be defense secretary, even though his recent tenure in the active-duty military means he'll need a special waiver that requires 60 votes in the Senate.  But some of Trump's picks, Democrats say, represent existential threats to the basic mission of the departments they've been tapped to lead, and so the nominees have no business in those jobs.  There's Trump's reported pick for secretary of state, Rex Tillerson, chief executive of oil giant ExxonMobil, who has warm relations with Russian President Vladimir Putin. There's Trump's pick to head the Environmental Protection Agency, Scott Pruitt, who has made a name for himself by suing the agency. There's Andy Puzder, Trump's choice for the Labor Department, a fast food executive who wants to replace workers with robots.  There's Betsy DeVos, a school choice advocate seen as hostile to public education, whom Trump wants to put in charge of the Education Department. And there's attorney general nominee Jeff Sessions, an anti-immigration hard-liner whom the Senate once rejected for a federal judgeship over past racially insensitive comments.   Democratic congressional aides and outside groups will spend the coming weeks poring over the financial statements, personal histories and public utterances of Trump's most polarizing Cabinet selections, hoping to find information that could turn them into the next Tom Daschle or Zoe Baird  Barack Obama and Bill Clinton Cabinet nominees who were forced to withdraw after damaging issues came to light during the confirmation process.  And Democrats have reason to believe Trump's nominees provide an especially rich vein for digging, because according to reports, few have been subjected to a traditionally thorough vetting process by his transition team. Many are wealthy business executives with sprawling financial entanglements and no political experience or the scrutiny that comes with it.  ""What's unusual about Trump's Cabinet picks is that so few of them come from politics, which means that they're going to have a harder time than usual going through the traditional vet and public evaluation,"" said Simon Rosenberg, president of the Democratic think tank NDN. ""Some of them are going to crash. Some of them aren't going to make it because of things that are going to come up in their background.""  Democrats will have to pick their battles, and priorities will likely be decided based not only by how threatening they find Trump's nominees, but how vulnerable the nominees are after some digging.  Related: Donald Trump Builds Cabinet with Old Friends and Some Rivals  ""Much of it depends on what's uncovered in the vetting process,"" said Jim Manley, a former aide to Senate Democratic leader Harry Reid of Nevada. ""As Senator Daschle found out, one little thing can trip you up.""  Daschle was nominated to head the Department of Health and Human Services in 2009 but removed his name after controversy over his taxes emerged.  Old domestic abuse allegations related to a messy divorce have already surfaced with Puzder. But complicated financial issues are more likely to trip up Trump's nominees than personal indiscretions, especially given the number of super-wealthy candidates Trump has chosen.  ""The Senate Finance Committee has developed a reputation as somewhat of a killing field for nominees in recent years,"" Manley said. ""They've developed the experience to really pick apart the financials.""  And Trump's team may be flying blind to some extent. His transition team has reportedly forgone the rigorous vetting process traditionally performed on potential nominees before they are announced publicly, leaving his picks potentially vulnerable to surprises.  Selecting Rep. Mike Pompeo, R-kansas, as CIA director was ""pretty simple,"" said Rep. Devin Nunes, R-California, who is working on Trump's transition team.  ""They asked me who would be the person for the agency, and I said without a doubt that Pompeo would be a great pick,"" Nunes told Politico.  Dan Kanninen, a former Obama White House official who helped choose candidates for jobs in the Environmental Protection Agency, said it takes weeks or months for even the best transition teams to properly vet candidates.  ""With Trump, none of that, as far as we can tell, happened before the election. And now, if it is happening at all, it's happening in a matter of days based on the gut on the president-elect,"" he said. ""It would not surprise me at all, given how little we know  and frankly how little the Trump team knows  if something came up with of a magnitude that might kill some of their nominations.""  Even under the best of circumstances, things get missed. Clinton rescinded Baird's nomination to be attorney general because it was discovered that she had hired an undocumented immigrant as a nanny.  The Senate confirmation process can be brutal even for squeaky clean candidates who have spent their whole careers in government. A ""Survivor's Guide for Presidential Nominees"" prepared by the National Academy of Public Administration, a congressionally chartered non-profit, stretches over 71 pages and warns, ""If you are not nervous going into your confirmation hearing, you should be.""  Nov. 24: Trump Scrutinized Over Cabinet Picks, Intelligence Briefings 2:38 It may be especially bumpy for Trump's nominees from the private sector, who are not accustomed to government processes and who have not already gone through the kind of public and legal scrutiny politicians and government officials are used to.  Three years ago, facing Republican obstruction, Senate Democrats decided to kill the filibuster for executive branch appointments, which means they now cannot force Republicans to find the 60 votes needed to break a filibuster. Republicans need only 51 votes in the Senate to confirm Trump's Cabinet picks.  Democrats would need three Republicans to join them to shoot down any of Trump's nominees, and so far none have expressed interest in taking up the cause.  Some Democrats, unsurprisingly, are having buyer's remorse about the filibuster change, including Reid's successor as Democratic Leader, Sen. Chuck Schumer of New York.  ""I wanted 60 for Supreme Court and Cabinet, but I didn't prevail,"" Schumer told The Washington Post.  Still, he vowed opposition to some nominees, however possible. ""If it's somebody who is out of the mainstream,"" Schumer said, ""we'll fight tooth and nail and use every tool we have.""  The Senate has traditionally deferred to new presidents' wishes in filling out their Cabinets, approving many nominees without bothering to even take formal votes.  Recent incoming presidents have had to withdraw only one or two Cabinet picks, if any at all, and the Senate has voted to outright reject just three nominees in the past 100 years, according to the Senate historian.  But Democrats are in no mood to be deferential to Trump after Republicans, in their view, broke with tradition by obstructing Obama Supreme Court pick Merrick Garland for nine months and fought the confirmation of his second attorney general, Loretta Lynch.  And they say Trump has chosen blatantly provocative or unqualified nominees, instead of trying to find common ground in a divided country.  ""Donald Trump is kind of giving a big middle finger to that entire department by nominating someone who was found to have 50 percent of his restaurants in noncompliance with labor laws,"" Sen. Chris Murphy, D-Connecticut, told MSNBC on Friday of Trump's decision to name Puzder to head the department responsible for protecting workers."
1,Satire,"TRUMP SAYS HE HEROICALLY AVOIDED CAPTURE IN VIETNAM BY STAYING IN U.S.s AMES, IOWA (The Borowitz Report)Presidential candidate Donald Trump revealed a little-known episode of personal heroism from his youth on Saturday, telling an Iowa audience that he narrowly avoided capture in Vietnam by remaining in the United States for the duration of the war.  The Cong were after me, Trump said, visibly stirred by the memory. And then, just in the nick of time, I got my deferment.  The former reality-show star said he had never shared his record as a war hero before because I dont like to boast.  He said that he only disclosed the episode now because the way this nation treats our deferment veterans is a disgrace.  Trump complained that he received no official commendation or medal for his heroism, calling the lack of recognition shameful.  Those brave Americans who, like me, avoided being captured by not serving at allwe are the true heroes, he said.  Trumps tale of valor appeared to move many members of his audience, some of whom waited in line after his speech to thank him for his lack of service."
2,Fake,"Obama Signs Executive Order Banning The Pledge Of Allegiance In Schools Nationwide WASHINGTON, D.C. (AP)  Early this morning, President Obama made what could very well prove to be the most controversial move of his presidency with the signing of Executive Order 13738, which revokes the federal governments official recognition of the Pledge of Allegiance. Under the new order, it is now illegal for any federally funded agency to display the pledge or for any federal employee to recite, or encourage others to recite, the pledge while on duty. This law also applies to federal contractors and other institutions that receive federal funding such as public schools. Individuals who violate this order can face fines of up to $10,000 and up to one year in federal prison.    During the press conference, the President explained his decision was based on a personal belief that the language used in the pledge is divisive and contrary to Americas deepest held values.  The pledge excludes so many Americans who are vital to making this country what it is, Obama said. Asking someone to pledge their allegiance to our country excludes Jehovahs Witnesses, Amish, Muslims, and many others whose religious beliefs prohibit strong displays of nationalism. By calling this one nation under God, we exclude the millions of hard working atheists and agnostics who call America home. By saying liberty and justice for all, we ignore the grievances of millions of Hispanics, African Americans and Muslims who feel they have neither liberty nor justice.  Obama told reporters that he believes the inclusion of under God runs afoul of the First Amendments establishment clause. He summed up his press briefing by challenging congress to create a new pledge that more accurately reflects Americas values.  I am willing to rescind my decision here today and allow the Pledge of Allegiance back into the schools if we can all agree on the creation of a new Pledge, something that is includes everyones beliefs and not just the belief of one nationality or faith.  Democratic presidential nominee Hillary Clinton has already offered her support of president Obamas decree and has vowed to uphold the order if she wins in Novembers general election. She echoed his concerns about the pledges language and suggested that the pledges mention of God sends the wrong message to Americas children.  I fully support the President and the decision that he has made here today. In January, when I take office as the next President of the United States, unless I see otherwise, I will do my best to uphold this new law and ensure that it stays in effect.  Republican presidential nominee Donald Trump did not mince words when voicing his contempt for the presidents order, referring to the president as an illegitimate Muslim traitor.    As a Christian nation, the Pledge of Allegiance helps our children be the greatest children out there, the best there is, greater than all the other children in this world combined. Obama, who founded ISIS by the way, wants them not to be great, he wants them to be weak, and by banning the Pledge of Allegiance in our schools, he has proven that here today. This is the first step in many in his master plan to force Sharia law onto this great country of ours before he leaves office in January. We all must remember that this is one nation under God and not some guy and his beliefs in whatever he chooses to believe.  Sarah Bradley, a spokeswoman for Sock It Forward, a group that provides the homeless and those less fortunate with brand new socks, spoke to ABC News about the ban.  This is a story about President Obama banning the Pledge of Allegiance in our schools. Bradley said. I just want to say a big thanks to every God-fearing, Patriotic American that has supported our cause that gives brand new socks to the homeless. Please, donate what you can, every bit helps so much.  Lawrence Ketchum of the Secular Coalition for America told reporters that Obamas decision to ban the Pledge is a victory for all those who oppose government control.  When our children are forced to chant, One nation under God, whose God are they referring to exactly? Ketchum said, From birth, children are indoctrinated and subjected to mind control, efforts to shape them into the perfect beings that society wants them to be. The Pledge of Allegiance is just one of the many tools used in a childs involuntary reeducation of basic beliefs and values. Ketchum continued, This is a great day not just for Atheists, but for all Americans who value freedom. Forcing children to pledge blind allegiance to this country and profess a belief in a God is extremely dangerous in developing young minds and amounts to little more than government mind control.  While Executive Order 13738 is likely to be a source of heated debate among Americans, constitutional scholar, Paul Horner, told ABC News that it is unlikely the law will be challenged in court.  Since this law only affects federal employees and contractors and not the general populace, it is well within the traditional scope of a presidents executive authority to pass this law. Any challenges would lack proper legal standing and more than like be quickly dismissed.    Fappy The Anti-Masturbation Dolphin, a mascot for a Christian organization that travels around the country educating children about the dangers and consequences of masturbation, told ABC News he believes in what Utah is doing.  It is important that children become the unique individuals that this country wants them to be. Conforming into the perfect little human beings that God intended them to be has always been the American way. It is important to remember that our Lord and Savior loves each and every one of us, unless we masturbate, then well burn in Hell for eternity.  David Mikkelson, founder of Snopes.com, a website known for its biased opinions and inaccurate aricles they write about stories on the internet in order to generate advertising revenue, told ABC News that he approves of what a story like this is accomplishing.  You have to understand that when a story like this goes viral, and we spend a minute or two debunking it, we make lots of money. Stories like this have helped put my children through college, buy a new car, a home and even get the sex reassignment surgery my wife Barbara always wanted since she was a little boy, Mikkleson said. We claim to provide evidence for such debunkings and confirmation as well, but thats just ridiculous. Do you know how much time that would take? Instead, we just copy and paste parts of the original article into ours, write a couple sentences, and thats it. I just want to be clear, our website does zero journalism or anything creative, and Im only telling you this for legal reasons. Mikkleson continues, A typical story of ours makes wild claims, using grammatical errors, misspellings and words like umimumimaginative, recycled, hoax, saying that a story illegally appropriates the trademarks of legitimate news organizations, but we list no links or sources of information, they are all just outrageous accusations by us. And that story will get 50,000 shares or more on Facebook, thats a lot of ad revenue for only writing a couple sentences. Mikkelson further explains, It is common for us to rewrite a story were debunking if we dont like it. In one recent story of ours, we actually removed a persons name from the original article and then called him a liar, its so funny! We also like to post fake, un-funny, juvenile disclaimers supposedly from the site in question and it is our authors, such as Jeff Zarronandia who are responsible for those gems. We tell our readers that the disclaimer is from the story we are debunking, but a simple google search will show that our disclaimer is 100% fabricated. Sometimes I think that someone should start a company that debunks our debunkings, they could probably make a lot of money, Mikkelson laughs. And lots of people complain about our authors attacking websites and their owners for reasons that are 100% proven false, but since we block archive.org it just becomes their word versus ours. Our writers like Zarronandia go as far as to say that the story originated from a clickbait fake news site that infringes the trademark-protected visual elements and domain names of legitimate news outlets in order to generate traffic and drive advertising revenues by creating and spreading entirely false news stories. But we dont list ONE factual piece of evidence to back up our claims; Its just more of our hack, unethical journalism, and as I said before, I only tell you this for legal reasons. I think it is business as usual for us to accuse the story we are debunking of spreading malware and viruses, but we never say what website it actually is. I think warning people about a site that could potentially destroy their computer is probably a good idea, and I hope one day to do that kind of ethical journalism, but people will click our ads regardless, bottom line; so why do the extra work?  Originally composed by Colonel George Balch in 1887, The Pledge of Allegiance was later revised by Francis Bellamy in 1892 and formally adopted by Congress in 1942. The Pledge is an expression of allegiance to the Flag of the United States and the republic of the United States of America. The official name of the Pledge of Allegiance was adopted in 1945 and the last changes made to it came on Flag Day in 1954 when the words under God were added at a nursing school where CNA classes in Ann Arbor, Michigan were taking place.  The Obama Administration has set up a 24-hour hotline to address any questions and concerns the public may have regarding the new Executive Order. The number for the hotline is (785) 273-0325. Donald Trump plans to speak about the new law this Thursday night (October 20th) at 10PM at The Lost Leaf in Phoenix, Arizona."
3,Real,"GOP in Congress split over how to repeal Obamacare WASHINGTON  Republicans are united on repealing President Barack Obamas health care law, but ideologically and practically speaking, theyre in different camps over replacing it. Getting the factions together wont be easy.  Some Republicans would revise and rebrand Obamacare,  junking unpopular provisions like its requirement that most Americans carry health insurance, while preserving well-liked parts. Others would rip up the Affordable Care Act, or ACA, and not replace it.  Can Congress put aside differences in the new year? Play VIDEO Can Congress put aside differences in the new year? President-elect Donald Trump and Republican congressional leaders will have to unite the groups on complicated changes affecting the financial and physical well-being of millions of people. For some constituents in fragile health, its literally a life-and-death debate.  Republicans have a really narrow path, says Grace-Marie Turner of the Galen Institute, a free-market health care research organization. Theyve got to deal with the politics of this, theyve got to make sure they come up with good policy, and they also have process challenges.  Success is not guaranteed, and Republicans may come to regret that their party defined itself as totally opposed to Obamacare.  Yet House Ways and Means Chairman Kevin Brady seems unfazed by the challenge. Its like tax reform, says Brady, a Texas Republican, explaining that many pieces will be pulled together. Unlike Obamacare, which ripped up the individual market, this will be done deliberately, in an appropriate timetable.  Republicans say they will move quickly to repeal the ACA, while suspending the effective date to allow them to craft a replacement. Heres a look at the GOP camps and whos in them:  Revise and rebrand  Many Republicans may quietly be in this contingent, but fear being accused of promoting Obamacare-lite.  Theyd strip out some of the ACAs taxes and requirements. The unpopular individual mandate to carry health insurance or risk fines could be replaced with other persuasion short of a government dictate. Rules on insurers would be loosened.  But popular provisions such as protecting those with pre-existing health conditions would be retained in some form, as well as financial assistance for low- and moderate-income people. The requirement that health plans cover adult children until age 26 would be fairly easy to preserve, since employers have accommodated it.  A rebranded version of Obamas law may well cover fewer people. But its GOP advocates believe most Americans will find their goal of universal access to care politically acceptable when measured against the Democratic ideal of universal coverage, underwritten by government.  Many GOP allies in the business community favor revising the ACA. That includes major players among hospitals, insurers and pharmaceuticals.  Trump may have given this group some cover by saying that he wants to keep parts of the law, but his bottom line remains unknown.  Budget hawks  For budget hawks, unwinding the Obama health law is a beginning. Next they could move on to much bigger objectives like restructuring Medicaid and Medicare, and placing a cost-conscious limit on tax breaks for employer coverage.  Budget hawks see health care as the main driver of government deficits, and they are loath to address that imbalance by raising taxes. Instead they want to rewrite the social compact so individuals accept more responsibility and risk for their health care.  House Speaker Paul Ryan of Wisconsin is the most prominent member of this camp, and his Better Way agenda is its roadmap. Georgia Rep. Tom Price, Trumps nominee for Health and Human Services, is a budget hawk. Vice President-elect Mike Pence has been in the same orbit throughout his career.  The problem for budget hawks is that the 2016 political campaign did not give them a mandate. Issues like Medicare and Medicaid were scarcely discussed. Trump said he wouldnt cut Medicare, and sent conflicting signals on Medicaid.  Many Democrats cant wait for Republicans to follow the call of the budget hawks. Betting that will backfire, House Democratic Leader Nancy Pelosi is rallying her lawmakers against attacks on the ACA and Medicare.  The rip-it-up society  The most conservative lawmakers want to pull Obamacare up by the roots as if it never existed, says Republican political consultant Frank Luntz. That sentiment is embodied by the 40 or so members of the House Freedom Caucus, and its probably broadly shared among conservatives.  Some do not believe the federal government should be involved in health care, and they couldnt care less about replacing the ACA.  They would say that Obamas plan has failed, said Luntz.  GOP leaders may need these lawmakers to advance on replacement legislation; coaxing them to a middle ground might not be possible.  Trump calls the ACA a disaster, and thats pleasing to those farthest on the right. Its unclear if hed walk their walk.  Pragmatists  At the core of this small group are legislative veterans who understand the excruciating difficulties of getting major bills to a presidents desk. GOP Sens. Lamar Alexander of Tennessee and Susan Collins of Maine are pragmatists.  They may find support from Republican governors who expanded Medicaid under the health law. GOP congressional leaders could gravitate to this camp.  The biggest challenge for pragmatists will be to win over some Democrats for replacement legislation. While repealing most of Obamacare is possible with a simple majority in the Senate, 60 votes would probably be needed for a replacement. There will only be 52 GOP senators next year.  Republicans need a fancy Rose Garden repeal ceremony...and I expect them to have one, said Dan Mendelson, CEO of the consulting firm Avalere Health. On the other hand, theres 20 million people with health insurance under the ACA, and they dont want to dump them. Theres no clear path for how to square that conflict."
4,Satire,"Trump Reveals Plans To Be Sworn In On Copy Of Playboy Magazine NEW YORK, NYDuring his Sunday interview with 60 Minutes, president-elect Donald Trump revealed that he has arranged to be sworn into the White House on January 20 on a copy of Playboy Magazine, rather than the traditional Bible as most past presidents have done.  Sources were able to confirm that he plans to use the March 1990 issue of the magazine, with Trump himself of the cover, on which he will swear while delivering the sacred oath of office to the nation.  Tremendous magazine, Playboy. The best magazine. Its got beautiful women in it. I love beautiful women, President-elect Trump told reporter Leslie Stahl in the interview.  The Biblelook, we all know I love the Bible, but to be honest with you, its a little boring. No pictures. It talks about women, some, but no pictures, Trump continued. He further stated that the raunchy pornographic magazine lined up more closely with his values than the Bible, which has some real nasty things to say about me.  White House transitional teams confirmed the news, and further stated Trumps inauguration will include an open bar, craps tables, and go-go dancers."
5,Fake,"Trump Accuser Was Paid $500,000 TO LIE FOR HILLARY Just before the presidential election there seemed to be a new woman coming forward every day claiming to have been sexually harassed by The Donald Trump.  It could also be that there isnt much merit to such claims of abuse. Trump has been in the public eye for long time   and yet every single one of his accusers waited until within one month of a national election to come forward? Theyre all aware of how wealthy the man is, and couldve come forward years (or in some cases, decades) ago and walked away with nice settlements if their claims were true. The fact that they didnt bother to do so gives me the impression that theyre looking for attention  or to sway the election.  Summer Zervos the Ex-Apprentice loser who claimed Donald Trump sexually assaulted her was paid $500,000 by lawyer Gloria Allred to fabricate the story. Allred is a Hillary Clinton collaborator and DNC Assosciate. According to an anonymous source this deal was reportedly shopped around to other ex-Apprentice contestants, which makes sense now.  Everyday for about a week we saw one accuser after another come forth. We must share this to as many people as we can to vindicate Donald Trump.  Zervos sexual harassment accusation against Trump is a completely fabricated hoax. Zervos was paid half a million dollars by Gloria Allred, which is being paid out slowly over time .  Zervos was a big league Trump supporter who converted her whole family to the Trump Train until she met Gloria Allred, as was reported before. Money talks!"
6,Real,"Sen. Jeff Sessions Faces Fight Over Bid to Be Trump's Attorney General The battle over President-elect Donald Trump's attorney general nominee, Alabama Sen. Jeff Sessions, is heating up ahead of what promises to be a deeply contested confirmation hearing next year.  Groups on the left are ratcheting up their criticism of Sessions on issues such as immigration, criminal justice and voting rights while those supporting him are unveiling the first component of what is expected to be a vigorous campaign in his favor. His confirmation hearings are scheduled for January 10 and 11 before the Senate Judiciary Committee.  Play Racism concerns surround Sessions as AG pick Facebook Twitter Google Plus Embed Racism concerns surround Sessions as AG pick 9:30 The conservative Judicial Crisis Network on Thursday launched a website, ConfirmSessions, accompanied by a six-figure ad-buy touting the Alabama senator as someone who will enforce the law.  The digital ads, targeting the Washington, D.C. market, show clips of Trump praising Sessions and highlighting his experience as U.S. attorney in Alabama and then senator of the southern state.  ""From his time as U.S. Attorney to his tenure as attorney general for the state of Alabama, Jeff Sessions successfully prosecuted drug and violent criminals, corrupt politicians and white collar offenders and his record shows an absolute commitment to equal justice under law by putting the people first  not powerful special interests,"" said Carrie Severino, chief counsel of the Judicial Crisis Network.  Related: Trump Taps Alabama Sen. Jeff Sessions for Attorney General Post  Now the battle lines are being drawn over his nomination.  Sessions has a controversial past on issues of race and immigration, including his failed confirmation of a federal judgeship 30 years ago largely because of racially insensitive remarks.  In the 1980s, Sessions was considered for a Ronald Reagan-appointed federal district judgeship in Alabama, but was blocked by the Senate after a black former deputy, Thomas Figures, accused him of making racially insensitive statements. Figures said that Sessions called him ""boy"" and had once warned him to be careful about what he said to ""white folks."" Sessions denied the remarks under oath at the time. In addition, U.S. Attorney E.T. Rolison and Assistant U.S. Attorney Ginny Grenade - two people Figures said were in the room at the time of the alleged remarks -- signed affidavits saying they did not hear Sessions call Figures ""boy."" Grenade signed the affidavit in 1986 and Rolison signed one on December 8 of 2016.  Figures, a former assistant U.S. Attorney in Alabama, also testified that, during a 1981 murder investigation tied to the Ku Klux Klan, Sessions commented that he ""used to think they [the KKK] were OK"" until he found out some were ""pot smokers."" Sessions claimed he had been joking.  Now, progressives are pouncing.  The progressive group People for the American Way has drawn attention to missing information that Sessions failed to include in a vast questionnaire that he is required to fill out ahead of his confirmation hearings.  In a 10-page memo that outlines Sessions' omissions, PFAW notes that in response to questions about his public statements, Sessions listed 48 opinion articles that he wrote. But the group found 43 more. He also didn't include any of the 60 press releases from 2003 and 2004, including one on the Federal Marriage Amendment, according to the group. Nor did Sessions make mention of his failed nomination to be a federal judge from 20 years ago.  1986: NBC Reports On Jeff Sessions' Confirmation Hearing 3:55 ""Sessions' questionnaire is grossly incomplete  we've found hundreds of relevant missing documents in just a few days,"" said Marge Baker, executive vice president of People for the American Way. ""It's ridiculous to think that the Senate could possibly give thorough consideration to a nominee with this many holes in his questionnaire.""  In response, Sessions submitted two additional pages of information on Thursday, including the listing of his judicial nomination.  Sen. Dianne Feinstein, D-California, the incoming ranking member of the Senate Judiciary Committee, is urging Republicans to delay the confirmation hearing.  In a letter to the top Republican on the Senate Judiciary Committee, Sen. Chuck Grassley of Iowa, Feinstein suggested that a delay of the hearings might be necessary for two reasons: Sessions' incomplete questionnaire and the reams of information that the committee must investigate in less than a month. She noted that Sessions has more than 30 years of public service and public statements that must be analyzed, and the 150,000 pages of information he handed over, while not a complete accounting, is too much to assess before January 10.  ""Staff must have sufficient time to do the due diligence on any nominee for this vital position  and this due diligence will likely take longer than the review for recent, prior nominees who had less materials to analyze,"" Feinstein wrote.  Drew Courtney, communications director for PFAW, said: ""No matter who the nominee is, the confirmation process for an attorney general needs to be taken seriously; Given Donald Trump's dismissive attitude towards the Constitution, that's doubly true this year. Senator Grassley is doing the country a real disservice by trying to rush the process.""  But Sen. Grassley has indicated that he has no intention of postponing the hearings. ""It is no surprise that Senator Sessions' twenty years of service as our colleaguenot to mention his service in the Department of Justice and to the State of Alabamayielded an extensive record,"" Grassley wrote in a letter responding to Feinstein.  Severino defended Sessions in a statement. ""Senator Sessions has turned over more material than any nominee in history and is well known to the senators. Liberals are scrambling to delay because they don't want an attorney general who puts the American people and the rule of law ahead of political agendas,"" Severino said.  This first battle is likely a sign of more conflicts to come over Sessions' nomination as the hearings approach."
7,Satire,"WORLD LEADERS STAND UP TO PUTIN IN THEIR MINDS KIEV, UKRAINE (SatireWire.com)  Leaders from Europe and the United States today declared time was up on Russian President Vladimir Putin and vowed to thwart his invasion of Crimea by taking bold and decisive action in their minds.   At EU headquarters in Brussels, ministers are shouting so loudly in their heads you can hear it. Putin only understands force, and we therefore have no choice but to respond with force, U.S. Secretary of State John Kerry thought moments before meeting with Sergei Lavrov, Russias Foreign Minister. Lavrov, you have 24 hours to get your troops out of Crimea or its war, Kerry said to himself in the mirror before going out and saying nothing of the kind.   In Washington, President Barack Obama unveiled some measured sanctions against Russia, but mentally ordered the Joint Chiefs of Staff to unleash its might.   I hereby authorize the Atlantic fleet to strike Russian bases in Crimea and cripple Russian missile batteries on the border with Eastern Ukraine, after which we will send in ground troops to remove the Russian menace, Obama told his top brass, after which he imagined Senate thorn John McCain shouting, You go girl!   European leaders were no less internally outspoken as they visualized putting self-interest aside and finally defying the Kremlin.   As each day passes, Russia tightens its grip on Crimea. We cannot wait. We must act now, and with force! German Chancellor Angela Merkel said aloud, although not so loud that anyone could hear.   Her daring words were echoed by British Prime Minister David Cameron, who in every sense but actual vowed to move boldly.   President Putin has defied international law and we must make show him the West is strong, Cameron told himself while chomping on an imaginary cigar in what he hoped was a Churchillian way.   In Moscow, meanwhile, Putin pictured himself saying the most outrageous, incendiary and ridiculous things, and then went ahead and said them."
8,Satire,"Ontario Liberals give up, let each school choose their own sex-ed curriculum Aisha Alfa reports on the Kathleen Wynne governments plan to let each school set their own sex ed curriculum, and the wildly different lesson plans that the school boards have come up with."
9,Fake,"Bill Murray Kicks Off Presidential Campaign In South Carolina With A Bang Charleston, SC  Just one day after the Democratic Primary, legendary actor, comedian, and writer, Bill Murray, brought his newly announced Presidential campaign to Charleston, South Carolina, speaking to an estimated crowd of over 100,000 cheering fans and supporters.  Hello South Carolina! Are you ready to get weird or what? Murray said to the roaring crowd.  Murrays speech, which lasted a little more than an hour, touched on many issues from his campaign, including increased wages, health care, the cost of higher education and human rights in general. The rally also included wine tasting and stages where the people in attendance were allowed to sing karaoke.  I saw the Republican debate the other night and it made me sick to my stomach, Murray told the crowd. Here are grown men, candidates running for President of the United States, and theyre acting like 4-year-olds. Theyre up there on stage, broadcasted to the entire world, calling each other names, interrupting each other, making complete fools of themselves and I just thought to myself; I think the American people deserve better than this. I know we deserve better than this because we are better than this.  Political analyst, Paul Horner, told ABC News he has taken an extreme interest in what Murray is doing since he announced his run for President just a little more than a week ago.    I dont know if Bill Murray is really running for President or if hes just having some fun, but the man is making some excellent points out there. Hes getting people to think about the state their country is in right now and making a lot of people happy while doing it. I applaud Mr. Murray for what hes doing.  I pretty much dont like any of the candidates that are running for President right now, Murray told the crowd, I think Bernie Sanders seems like a decent guy, but the rest of em, are pretty much complete pond scum in my opinion. Murray continued, Im always traveling around the world, but Im proud to call America, the good ole U.S. of A, my home. I think theres a lot of great people here, a lot of potential, but theres also a lot of confusion and hate right now. People dont know what to make of these Hitler wanna-bes like Donald Trump, and the Ted Cruzs, who want to start World War III. They feed on the hate and paranoia a lot of this country has, and because of that, you see them leading in the polls. And its sad that people go along with it, and cant see it for what it really is.  Sarah Bradley, a spokeswoman for Sock It Forward, a group that provides the homeless and those less fortunate with brand new socks told ABC News that she fully supports Murray and his run for President.  We need a new face in Washington. Someone who has no political ties or agenda and cant be bought, Bradley said. I actually met Bill Murray a while back when we were starting our cause that gives new socks to the homeless. Bill made a donation right there on the spot, saying what we were doing was amazing; hes such a great guy. He truly cares about people and making the world a better place.  Murray finished the rally by saying, Im no hero, I just want to help out, and I hope you all choose to stand behind me, or beside me, or wherever is comfortable for you, but just as long as its with me. Look, we dont need to make America great again, because it already is; we all just need to try a little bit harder and have more love in our hearts for our fellow man. I think if you can take care of yourself and then maybe take care of someone else then thats sort of how youre supposed to live. Lets all help each other make this the best life experience possible!  Murray still has yet to announce if he will be running as an Republican, Democrat or Independent.  David Mikkelson, founder of Snopes, a website that takes the fun out of stories on the internet in order to generate advertising revenue, told ABC News that he approves of what a story like this is accomplishing.  This type of story, when it goes viral, and we debunk it, we make money, Mikkelson said. The secret behind a good Snopes article is a formula that we have used since day one, its actually quite simple. First, we start with the same cookie-cutter outline we use for every site that we debunk. Next, we copy and paste parts of the original article into ours. After that, one of our writers will type one or two sentences that talk about the content we just copy and pasted. And now, last but not least, we slap a title on there similar to the articles headline that were debunking. This way it will show up at the top of Google for anyone searching for that story, and thats it! Then we just sit back and let the money roll in. We are the absolute definition of clickbait! Ill tell what, if it wasnt for great writers like Internet news satirist Paul Horner, putting out the stories that he does, my children wouldnt have been able to go to college. Holding back tears, Mikkelson finishes by saying, Though we are currently being sued by Fox News for calling them a fake news site, so lets just hope Paul Horner writes another story soon.  Murrays campaign team told reporters their next stop is the Arizona State Capitol on March 2nd and then the Tempe Improv later that night. It is rumored Murray will be at the Improv meeting with locals and telling a few jokes. Tickets to that show are only $10."
