,label,content
0,T,2020 Indy 500 postponed from May to August due to coronavirus crisis
1,T,"With fears over the spread of Coronavirus mounting, local assisted living facilities like Poet's Walk in Cedar Park are doubling cleaning procedures. This morning, health officials said those older than 65 are most at risk of the disease. Full story tonight at 6 on @cbsaustin. https://t.co/yW8LceBvEj"
2,U,"""It's Winter-Time For Capital Flow"" - Outbreak Sparks Collapse In Chinese Tech Venture Funding  https://t.co/IjFGVX7K9P https://t.co/zkj13Sm7bK"
3,F,Cristiano Ronaldo will convert his hotels into coronavirus hospitals
4,T,Australia now has drive-thru coronavirus testing. South Korea has it. Germany has it. What the hell is happening in America?
5,U,"#NoMeat_NoCoronaVirus Consumption of meat is linked to many diseases like cancer, diabetes, obesity, cholesterol, heart diseases, etc. Meat is the only root Corona Virus So please Stop Eating Meat... https://t.co/SPbiunCcp5"
6,F,The CDC can detain anyone with a fever — indefinitely. … Vaccination (is) a way people could get out of detention
7,F,Pope Francis asked believers to put a white handkerchief on their doorstep for the plague to go away
8,T,"Foreign leaders from the Group of Seven (G-7) failed to agree on a joint declaration because of Secretary of State Mike Pompeo's insistence that they refer to the coronavirus as the ""Wuhan virus,"" according to media reports"
9,U,China’s Communist Party Uses All Sectors to Wage War on the US; The US M... https://t.co/K2qFfekm8J via @YouTube
10,T,Wuhan city is like #HKPoliceTerrorism shut down
11,T,Remember when Ford cut a billion dollars from Toronto's public health? A good portion of that was infectious and communicable disease surveillance and treatment programs
12,T,"Not the incessant lying or bullying. Not kids in cages, Not mass deportations. Coronavirus is what they fear will harm his chances in 2020. #OutOfTouch White House fears coronavirus could shape Trump's 2020 fortunes https://t.co/CT2Njjj4PM via @politico"
13,U,China coronavirus curbs leave Hubei poultry farmers with 'no way to get by'
14,U,The 31 wildest lines from Donald Trump's self-congratulatory coronavirus press conference
15,T,"""Supermarkets have been using the list to give priority to vulnerable customers."" Untrue. Spoke to a supermarket manager today on the phone on behalf of my disabled mum. He said; ""We don't have the list. The Government are releasing it in two weeks time."""
16,F,Millions of poor farmers and workers will lose access to a cheap and easy way to buy and sell fresh food if Asian cities clamp down on traditional wet markets in the wake of the deadly
17,F,"Boil weed and ginger for COVID-19 victims, the virus will vanish"
18,F,Video of police killing COVID-19 affected people in China
19,F,"Italian police are being brutal on people not following lockdowns, India should follow"
20,T,marrying O.J. simpson has a higher death rate than coronavirus
21,U,A Senior UNDP Official forecasts Latin American &amp; Caribbean countries (LAC) may suffer disruptions to their su... https://t.co/TPhNQiHoxS
22,F,Bodies packed in body bags are being dumped in mass graves in Italy and Spain
23,F,An image of a baby born with deformities claims that the baby was suffering from Coronavirus
24,T,Wuhan virus: Rats and live wolf pups on the menu at China food market linked to virus outbreak
25,U,JUST IN: Plane carrying Americans being evacuated from Wuhan has departed
26,F,"Coronavirus can be cured by sniffing clove and camphor and by drinking water, the virus will go to the stomach and the acid in the stomach will kill the virus"
27,F,the #COVID19 virus was designed in a lab to disproportionately kill POC
28,F,Italy has run out of doctors amid COVID-19 pandemic
29,F,Claim that coronavirus stays in the throat 4 days before reaching the lungs and that gargling lukewarm water with vinegar and salt can kill it
30,F,"Fake news, conspiracy theory, manipulation of facts, disinformation, Coronavirus was created in the lab in order to destroy the Chinese economy. The vaccine is already available"
31,T,Ask yourself how did this really get out? CDC says its coronavirus test may fail to flag some patients https://t.co/V8PcYF8iIb via @MailOnline
32,F,Audio from WhatsApp in which the head of Cardiology at the Gregorio Marañón Hospital states that we are in a moment of uncontrolled coronavirus infection
33,F,"This pictures shows two people that have been seen going around pretending to give protective masks to people in need. Be careful, they’re thieves and not healthcare personnel"
34,U,Videos of people infected with coronavirus in China
35,T,Coronavirus hits housing market as mortgage applications plummet in US
36,F,Costco recalls toilet paper because it’s infected with the coronavirus
37,U,Just a few things more people have died from this month than Coronavirus. - Passive Smoking- Drink Driving- Obesity- Suicide- Domestic Violence
38,T,Spain Confirms First Case of Coronavirus-Health Ministry - The New York Times https://t.co/B2fnsvWZmt
39,F,Bill has just starting to do charity work
40,T,"Shocking news-14,840 new cases #coronavirus and 242 new deaths. 60,016 cases worldwide: - New criteria includes clinically diagnosed cases - 16,067 suspected cases - 1,355 fatalities - 8,070 in serious/critical condition. @IndoPac_Info @Aryanwarlord @desertfox61I @sayareakd https://t.co/AxIwJ02l0z"
41,U,Stop killing innocent animals for the taste of tongue. It is against the rule of God. Saint Rampal Ji Maharaj China Must watch sadhna TV 7:30pm
42,T,"President at First Responders Children's Foundation, Jillian Crane, discusses how the benefit special will pay tribute to health care workers on the front lines working to treat COVID-19 patients; ‘FOX Presents the iHeart Living Room Concert for America’ will air on Sunday at 9 p.m. ET"
43,F,Countries are requested to provide protective suits and other medical resources before evacuating citizens
44,T,"#CDC has confirmed the first #US case of #WuhanPneumonia, the patient is now under observation in Washington state. This mysterious coronavirus has already claimed at least six lives in China"
45,F,"Wuhan coronavirus: Confirmed cases top 20,000 as China marks deadliest day – CNN"
46,U,"A new virus spreading in China has been detected in Seattle, says the CDC — making it the 1st U.S. case"
47,U,"Dr. #LiWenliang, The Chinese Doctor Who Tried to Warn of Outbreak Only To Be Silenced By Police, Is Dead From #Coronavirus At Age 34"
48,F,Beer drinkers are shunning Corona as a result of the new coronavirus
49,T,'Walking Dead' actor Daniel Newman says he was charged $9G for coronavirus test but not given results
50,F,BEWARE! THE CHINA VIRUS HAS LANDED IN US
51,T,"The coronavirus can live in the air for several hours, up to 24 hours on cardboard and up to two to three days on plastic and stainless steel. Cleaning surfaces with solutions containing diluted bleach should kill it"
52,F,"In Kuwait, He Sneezed During Friday Sermon, And The Worshipers Expelled Him"
53,F,"A COVID-19 case has been diagnosed in Umraniye Hospital, Istanbul"
54,T,This has me dead. Jamaica bout to beat the US
55,T,"After Utah Jazz center Rudy Gobert tested positive for the novel coronavirus, the state of Oklahoma administered tests to 58 people in a matter of hours"
56,U,"@CGTNOfficial Ducks Know-How defence Strategy better than Western Broadcasters Propagandaism Strategy, Who use Mouthpiece against China , While China fighting against #Coronavirus Emergency . All those people ,Who Comments Against China for Coronavirus Should learn from Ducks"
57,U,Quarantine this boy and the people that read the book😂 Hehe but seriously... I would really like to read it https://t.co/CCtb7b5WoM
58,F,The military is coming to Paris because of the virus
59,F,"Lombardia, Italy, ask to Cuba, China and Venezuela to send doctors"
60,F,"Imported second hand clothes from Europe, Asia or America could spread the novel coronavirus in Africa"
61,T,MYTH: China covered up the virus and arrested a doctor who warned about the virus FACT: The doctor's information was not correct and experts were already dealing with the situation
62,F,Public broadcast RTVE published a map of coronavirus cases in Spain that in fact was a map of penis’ average size in different regions
63,U,@PMBreakingNews @cswany2 It looks like a smoke machine. China is known to overact with not too many testings. Whatever they're spraying I hope it doesn't cause more harm than the CoronaVirus
64,T,"The outlets Xinhua News Agency, China Radio International, China Global Television Network, China Daily and the People’s Daily, will be required to reduce personnel from 160 to 100 by March 13."" 1/"
65,T,Mostly “Bill Gates told us about the coronavirus in 2015.”
66,F,Ultimo (italian singer) has coronavirus
67,T,Men's world hockey championships in Switzerland canceled
68,T,President @realDonaldTrump has taken bold action in response to the #Coronavirus. The steps the President announced in regard to Europe protect the American people — our highest priority — and are part of the most comprehensive effort to confront a virus in modern history
69,U,"China's coronavirus outbreak poses a ""very grave threat for the rest of the world,"" the World Health Organization said Tuesday"
70,U,"@BaldingsWorld My Chinese friends in China already told me that weeks ago. It's just incredible, even if the use VPN, they only use it to watch porn or business. There's no hope. The few who understands what's really going on only want to immigrate. China, a 1.4 billion people jail"
71,F,"False Spreading coronavirus is the interest of the USA, because American laboratories are operating not only around Russia but in the surroundings of Asian countries and in Georgia (Lugar lab)"
72,F,"A Netflix Show, South Korean drama My Secret Terrius had predicted the COVID-19 outbreak"
73,F,Viral message claiming that disinfection will be conducted with the usage of helicopters in Poland
74,F,Partially Multiple allegations on how to protect oneself from CoV
75,F,China had hundreds of people infected by the Wuhan Coronavirus outbreak last year and kept it quiet for months
76,F,Jawan being tested positive in Srinagar
77,F,there is observed trend with its admitted COVID-19 positive patients acquiring the disease from groceries
78,F,"Cocaine kills corona virus, scientists is shocked to discover that this drug can fight the virus"
79,F,Photo of Italian PM Giuseppe Conte who cried for regretting the late lockdown
80,F,"The Centers for Disease Control and Prevention (CDC) announced that COVID-19, a disease caused by the coronavirus, had been found in toilet paper, and that people should use wet cloths instead"
81,U,@ImohUmoren @ochuko_atenaga Corruption is caused by coronavirus
82,T,"Known best for appearing in ""The Young and the Restless,"" Greg Rikaart, 43, announced his diagnosis on Instagram. He said in his post that despite being in relatively good health, his experience fighting coronavirus ""has been the hardest experience of my life."" He also revealed that he also developed pneumonia, but that he's now ""turned the proverbial corner,"" and is healing"
83,F,As the White House and Congress work on a massive stimulus package to address the novel coronavirus pandemic — which could result in payments to individual taxpayers — social media users suggests such aid could be withheld from critics of President Donald Trump
84,U,The Coronavirus and China and Quarantines May Cause a Global Recession
85,F,The coronavirus seems to attack the nerves or the brain
86,F,"Fake news, conspiracy theory, manipulation of facts, disinformation, Coronavirus was created in the lab in order to destroy the Chinese economy. The vaccine is already available"
87,F,People queue in Singapore for Halal food
88,F,"According to a certain document, there are infected cases in some areas of South Korea, but the Korean government is hiding the cases"
89,F,Authorities have identified that the international chemical-warfare terrorist Samuel Whitcomb Hyde is behind the deadly China coronavirus
90,F,"A person with coronavirus in Calella, Barcelona (February 13th)"
91,F,Coronavirus is not new as there is a vaccine for dogs that prevents it
92,U,“You’re more likely to die of influenza right now” than the 2019 coronavirus
